year,month,day,avg_price,rate
2025,6,3,6176.0,HIGH
2025,6,4,5882.0,HIGH
2025,6,5,7573.0,HIGH
2025,6,6,6493.0,HIGH
2025,6,7,6242.0,HIGH
2025,6,8,6784.0,HIGH
2025,6,9,7489.0,HIGH
2025,6,10,7305.0,HIGH
2025,6,11,8608.0,HIGH
2025,6,12,7672.0,HIGH
2025,6,13,6746.0,HIGH
2025,6,14,6337.0,HIGH
2025,6,15,6959.0,HIGH
2025,6,16,4242.0,HIGH
2025,6,17,4985.0,HIGH
2025,6,18,5483.0,HIGH
2025,6,19,5244.0,HIGH
2025,6,20,5461.0,HIGH
2025,6,21,4385.0,HIGH
2025,6,22,4374.0,HIGH
2025,6,23,4553.0,HIGH
2025,6,24,5230.0,HIGH
2025,6,25,5571.0,HIGH
2025,6,26,5556.0,HIGH
2025,6,27,5736.0,HIGH
2025,6,28,6279.0,HIGH
2025,6,29,6741.0,HIGH
2025,6,30,7373.0,HIGH
2025,7,1,7541.0,HIGH
2025,7,2,8979.0,HIGH
2025,7,3,8083.0,HIGH
2025,6,3,8988.0,SPECIAL
2025,6,4,9351.0,SPECIAL
2025,6,5,11412.0,SPECIAL
2025,6,6,9955.0,SPECIAL
2025,6,7,7233.0,SPECIAL
2025,6,8,7045.0,SPECIAL
2025,6,9,8727.0,SPECIAL
2025,6,10,7616.0,SPECIAL
2025,6,11,9290.0,SPECIAL
2025,6,12,8288.0,SPECIAL
2025,6,13,8970.0,SPECIAL
2025,6,14,7807.0,SPECIAL
2025,6,15,6733.0,SPECIAL
2025,6,16,7028.0,SPECIAL
2025,6,17,5585.0,SPECIAL
2025,6,18,6907.0,SPECIAL
2025,6,19,7102.0,SPECIAL
2025,6,20,6178.0,SPECIAL
2025,6,21,5089.0,SPECIAL
2025,6,22,5010.0,SPECIAL
2025,6,23,5869.0,SPECIAL
2025,6,24,6669.0,SPECIAL
2025,6,25,6402.0,SPECIAL
2025,6,26,7175.0,SPECIAL
2025,6,27,7227.0,SPECIAL
2025,6,28,8080.0,SPECIAL
2025,6,29,7265.0,SPECIAL
2025,6,30,10241.0,SPECIAL
2025,7,1,8152.0,SPECIAL
2025,7,2,9937.0,SPECIAL
2025,7,3,8562.0,SPECIAL
