year,month,day,avg_price,rate
2025,6,11,607,HIGH
2025,6,12,732,HIGH
2025,6,13,667,HIGH
2025,6,14,593,HIGH
2025,6,16,664,HIGH
2025,6,17,696,HIGH
2025,6,18,662,HIGH
2025,6,19,795,HIGH
2025,6,20,836,HIGH
2025,6,21,784,HIGH
2025,6,23,707,HIGH
2025,6,24,649,HIGH
2025,6,25,622,HIGH
2025,6,26,674,HIGH
2025,6,27,545,HIGH
2025,6,28,619,HIGH
2025,6,30,660,HIGH
2025,7,1,606,HIGH
2025,7,2,655,HIGH
2025,7,3,703,HIGH
2025,7,4,695,HIGH
2025,7,5,682,HIGH
2025,7,7,704,HIGH
2025,7,8,644,HIGH
2025,7,9,620,HIGH
2025,7,10,661,HIGH
2025,7,11,641,HIGH
2025,7,12,658,HIGH
2025,6,11,714,SPECIAL
2025,6,12,677,SPECIAL
2025,6,13,652,SPECIAL
2025,6,14,644,SPECIAL
2025,6,16,689,SPECIAL
2025,6,17,627,SPECIAL
2025,6,18,640,SPECIAL
2025,6,19,908,SPECIAL
2025,6,20,871,SPECIAL
2025,6,21,860,SPECIAL
2025,6,23,781,SPECIAL
2025,6,24,714,SPECIAL
2025,6,25,752,SPECIAL
2025,6,26,749,SPECIAL
2025,6,27,663,SPECIAL
2025,6,28,755,SPECIAL
2025,6,30,735,SPECIAL
2025,7,1,683,SPECIAL
2025,7,2,729,SPECIAL
2025,7,3,803,SPECIAL
2025,7,4,775,SPECIAL
2025,7,5,742,SPECIAL
2025,7,7,695,SPECIAL
2025,7,8,689,SPECIAL
2025,7,9,628,SPECIAL
2025,7,10,694,SPECIAL
2025,7,11,664,SPECIAL
2025,7,12,652,SPECIAL
