year,month,day,avg_price,rate
2025,6,11,23454,HIGH
2025,6,12,39741,HIGH
2025,6,13,37522,HIGH
2025,6,14,35213,HIGH
2025,6,16,29683,HIGH
2025,6,17,26872,HIGH
2025,6,18,24999,HIGH
2025,6,19,63456,HIGH
2025,6,20,67886,HIGH
2025,6,21,65669,HIGH
2025,6,23,68272,HIGH
2025,6,24,67834,HIGH
2025,6,25,66408,HIGH
2025,6,26,57835,HIGH
2025,6,27,59013,HIGH
2025,6,28,54608,HIGH
2025,6,30,52128,HIGH
2025,7,1,44829,HIGH
2025,7,2,37290,HIGH
2025,7,3,32830,HIGH
2025,7,4,31158,HIGH
2025,7,5,34367,HIGH
2025,7,7,38960,HIGH
2025,7,8,36509,HIGH
2025,7,9,32580,HIGH
2025,7,10,28846,HIGH
2025,7,11,25472,HIGH
2025,7,12,24446,HIGH
2025,6,11,31228,SPECIAL
2025,6,12,43899,SPECIAL
2025,6,13,44971,SPECIAL
2025,6,14,43377,SPECIAL
2025,6,16,35352,SPECIAL
2025,6,17,29736,SPECIAL
2025,6,18,27881,SPECIAL
2025,6,19,68332,SPECIAL
2025,6,20,64658,SPECIAL
2025,6,21,70873,SPECIAL
2025,6,23,70964,SPECIAL
2025,6,24,71742,SPECIAL
2025,6,25,70726,SPECIAL
2025,6,26,65640,SPECIAL
2025,6,27,64044,SPECIAL
2025,6,28,65696,SPECIAL
2025,6,30,63730,SPECIAL
2025,7,1,55255,SPECIAL
2025,7,2,48804,SPECIAL
2025,7,3,43086,SPECIAL
2025,7,4,49062,SPECIAL
2025,7,5,44372,SPECIAL
2025,7,7,47478,SPECIAL
2025,7,8,46026,SPECIAL
2025,7,9,47826,SPECIAL
2025,7,10,35572,SPECIAL
2025,7,11,30808,SPECIAL
2025,7,12,29603,SPECIAL
