year,month,day,avg_price,rate
2025,6,3,14198,HIGH
2025,6,4,15076,HIGH
2025,6,5,17462,HIGH
2025,6,6,13788,HIGH
2025,6,7,21860,HIGH
2025,6,8,19032,HIGH
2025,6,9,18046,HIGH
2025,6,10,19493,HIGH
2025,6,11,21419,HIGH
2025,6,12,19005,HIGH
2025,6,13,24303,HIGH
2025,6,14,23069,HIGH
2025,6,15,22514,HIGH
2025,6,16,22459,HIGH
2025,6,17,23203,HIGH
2025,6,18,22606,HIGH
2025,6,19,21274,HIGH
2025,6,20,22904,HIGH
2025,6,21,24199,HIGH
2025,6,22,21384,HIGH
2025,6,23,21820,HIGH
2025,6,24,23798,HIGH
2025,6,25,22640,HIGH
2025,6,26,24503,HIGH
2025,6,27,22011,HIGH
2025,6,28,22248,HIGH
2025,6,29,18074,HIGH
2025,6,30,15506,HIGH
2025,7,1,16577,HIGH
2025,7,2,19501,HIGH
2025,7,3,18646,HIGH
2025,6,3,28024,SPECIAL
2025,6,4,27656,SPECIAL
2025,6,5,26644,SPECIAL
2025,6,6,24400,SPECIAL
2025,6,7,19993,SPECIAL
2025,6,8,18433,SPECIAL
2025,6,9,19025,SPECIAL
2025,6,10,20654,SPECIAL
2025,6,11,21198,SPECIAL
2025,6,12,16980,SPECIAL
2025,6,13,19992,SPECIAL
2025,6,14,23281,SPECIAL
2025,6,15,20700,SPECIAL
2025,6,16,20976,SPECIAL
2025,6,17,19164,SPECIAL
2025,6,18,21473,SPECIAL
2025,6,19,20544,SPECIAL
2025,6,20,20923,SPECIAL
2025,6,21,19256,SPECIAL
2025,6,22,20097,SPECIAL
2025,6,23,18992,SPECIAL
2025,6,24,19228,SPECIAL
2025,6,25,21759,SPECIAL
2025,6,26,22246,SPECIAL
2025,6,27,21943,SPECIAL
2025,6,28,20572,SPECIAL
2025,6,29,19036,SPECIAL
2025,6,30,20124,SPECIAL
2025,7,1,22867,SPECIAL
2025,7,2,21243,SPECIAL
2025,7,3,17296,SPECIAL
