year,month,day,avg_price,rate
2025,6,12,25558,HIGH
2025,6,13,42469,HIGH
2025,6,14,34432,HIGH
2025,6,16,36206,HIGH
2025,6,17,34881,HIGH
2025,6,18,32496,HIGH
2025,6,19,32829,HIGH
2025,6,20,28220,HIGH
2025,6,21,29819,HIGH
2025,6,23,26676,HIGH
2025,6,24,25281,HIGH
2025,6,25,28110,HIGH
2025,6,26,39668,HIGH
2025,6,27,37418,HIGH
2025,6,28,39152,HIGH
2025,6,30,38267,HIGH
2025,7,1,32500,HIGH
2025,7,2,29667,HIGH
2025,7,3,41501,HIGH
2025,7,4,31196,HIGH
2025,7,5,31211,HIGH
2025,7,7,28549,HIGH
2025,7,8,36564,HIGH
2025,7,9,28668,HIGH
2025,7,10,30454,HIGH
2025,7,11,28255,HIGH
2025,7,12,27251,HIGH
2025,7,14,26965,HIGH
2025,6,12,41075,SPECIAL
2025,6,13,38398,SPECIAL
2025,6,14,32281,SPECIAL
2025,6,16,35016,SPECIAL
2025,6,17,32802,SPECIAL
2025,6,18,31717,SPECIAL
2025,6,19,32937,SPECIAL
2025,6,20,35789,SPECIAL
2025,6,21,44989,SPECIAL
2025,6,23,34161,SPECIAL
2025,6,24,36383,SPECIAL
2025,6,25,37530,SPECIAL
2025,6,26,47396,SPECIAL
2025,6,27,47247,SPECIAL
2025,6,28,46767,SPECIAL
2025,6,30,44927,SPECIAL
2025,7,1,41504,SPECIAL
2025,7,2,35848,SPECIAL
2025,7,3,45242,SPECIAL
2025,7,4,38964,SPECIAL
2025,7,5,40138,SPECIAL
2025,7,7,35111,SPECIAL
2025,7,8,42525,SPECIAL
2025,7,9,36985,SPECIAL
2025,7,10,40546,SPECIAL
2025,7,11,38728,SPECIAL
2025,7,12,37268,SPECIAL
2025,7,14,38484,SPECIAL
