year,month,day,avg_price,rate
2025,6,11,9534,HIGH
2025,6,12,10381,HIGH
2025,6,13,11539,HIGH
2025,6,14,11564,HIGH
2025,6,16,10180,HIGH
2025,6,17,8854,HIGH
2025,6,18,9726,HIGH
2025,6,19,15614,HIGH
2025,6,20,13203,HIGH
2025,6,21,12942,HIGH
2025,6,23,10729,HIGH
2025,6,24,10144,HIGH
2025,6,25,8807,HIGH
2025,6,26,8009,HIGH
2025,6,27,8369,HIGH
2025,6,28,7999,HIGH
2025,6,30,7838,HIGH
2025,7,1,7440,HIGH
2025,7,2,7440,HIGH
2025,7,3,7023,HIGH
2025,7,4,8349,HIGH
2025,7,5,8641,HIGH
2025,7,7,11104,HIGH
2025,7,8,11962,HIGH
2025,7,9,12352,HIGH
2025,7,10,10789,HIGH
2025,7,11,9748,HIGH
2025,7,12,9993,HIGH
2025,6,11,11452,SPECIAL
2025,6,12,10701,SPECIAL
2025,6,13,11576,SPECIAL
2025,6,14,11930,SPECIAL
2025,6,16,11281,SPECIAL
2025,6,17,11068,SPECIAL
2025,6,18,11236,SPECIAL
2025,6,19,14426,SPECIAL
2025,6,20,12801,SPECIAL
2025,6,21,13352,SPECIAL
2025,6,23,11904,SPECIAL
2025,6,24,11059,SPECIAL
2025,6,25,9878,SPECIAL
2025,6,26,9652,SPECIAL
2025,6,27,9647,SPECIAL
2025,6,28,9880,SPECIAL
2025,6,30,8336,SPECIAL
2025,7,1,8986,SPECIAL
2025,7,2,8183,SPECIAL
2025,7,3,8431,SPECIAL
2025,7,4,8429,SPECIAL
2025,7,5,9716,SPECIAL
2025,7,7,10419,SPECIAL
2025,7,8,11226,SPECIAL
2025,7,9,11482,SPECIAL
2025,7,10,10889,SPECIAL
2025,7,11,10220,SPECIAL
2025,7,12,11167,SPECIAL
